running on Julia 1.8.5 (8 Threads)
simulation_pattern: 10800
file_name: data/20230324_103925/7.csv
file_name: data/20230324_103925/25.csv
file_name: data/20230324_103925/1.csv
file_name: data/20230324_103925/19.csv
file_name: data/20230324_103925/37.csv
file_name: data/20230324_103925/13.csv
file_name: data/20230324_103925/43.csv
file_name: data/20230324_103925/31.csv
19:31:24 data/20230324_103925/20.csv 8.333333333333332%
19:32:33 data/20230324_103925/8.csv 9.25925925925926%
19:33:05 data/20230324_103925/44.csv 5.555555555555555%
19:33:25 data/20230324_103925/14.csv 12.037037037037036%
19:34:02 data/20230324_103925/26.csv 13.88888888888889%
19:34:48 data/20230324_103925/38.csv 9.25925925925926%
19:35:03 data/20230324_103925/32.csv 14.814814814814813%
19:36:57 data/20230324_103925/20.csv 9.25925925925926%
19:37:22 data/20230324_103925/14.csv 12.962962962962962%
19:39:19 data/20230324_103925/8.csv 10.185185185185185%
19:39:46 data/20230324_103925/44.csv 6.481481481481481%
19:41:13 data/20230324_103925/32.csv 15.74074074074074%
19:42:03 data/20230324_103925/20.csv 10.185185185185185%
19:42:12 data/20230324_103925/26.csv 14.814814814814813%
19:43:26 data/20230324_103925/2.csv 6.481481481481481%
19:43:38 data/20230324_103925/38.csv 10.185185185185185%
19:43:48 data/20230324_103925/14.csv 13.88888888888889%
19:43:55 data/20230324_103925/8.csv 11.11111111111111%
19:44:21 data/20230324_103925/32.csv 16.666666666666664%
19:46:43 data/20230324_103925/20.csv 11.11111111111111%
19:46:47 data/20230324_103925/26.csv 15.74074074074074%
19:48:22 data/20230324_103925/32.csv 17.59259259259259%
19:48:30 data/20230324_103925/8.csv 12.037037037037036%
19:49:30 data/20230324_103925/38.csv 11.11111111111111%
19:49:36 data/20230324_103925/44.csv 7.4074074074074066%
19:49:39 data/20230324_103925/14.csv 14.814814814814813%
19:50:03 data/20230324_103925/2.csv 7.4074074074074066%
19:50:10 data/20230324_103925/26.csv 16.666666666666664%
19:52:42 data/20230324_103925/32.csv 18.51851851851852%
19:52:43 data/20230324_103925/8.csv 12.962962962962962%
19:53:12 data/20230324_103925/20.csv 12.037037037037036%
19:53:18 data/20230324_103925/26.csv 17.59259259259259%
19:53:29 data/20230324_103925/38.csv 12.037037037037036%
19:54:07 data/20230324_103925/14.csv 15.74074074074074%
19:56:57 data/20230324_103925/32.csv 19.444444444444446%
19:57:02 data/20230324_103925/8.csv 13.88888888888889%
19:57:04 data/20230324_103925/44.csv 8.333333333333332%
19:57:21 data/20230324_103925/26.csv 18.51851851851852%
19:59:32 data/20230324_103925/14.csv 16.666666666666664%
19:59:35 data/20230324_103925/38.csv 12.962962962962962%
19:59:58 data/20230324_103925/20.csv 12.962962962962962%
20:01:38 data/20230324_103925/2.csv 8.333333333333332%
20:01:39 data/20230324_103925/32.csv 20.37037037037037%
20:02:42 data/20230324_103925/8.csv 14.814814814814813%
20:02:47 data/20230324_103925/44.csv 9.25925925925926%
20:03:01 data/20230324_103925/26.csv 19.444444444444446%
20:03:23 data/20230324_103925/14.csv 17.59259259259259%
20:04:02 data/20230324_103925/38.csv 13.88888888888889%
20:05:07 data/20230324_103925/20.csv 13.88888888888889%
20:05:37 data/20230324_103925/32.csv 21.296296296296298%
20:06:56 data/20230324_103925/14.csv 18.51851851851852%
20:07:00 data/20230324_103925/8.csv 15.74074074074074%
20:07:58 data/20230324_103925/44.csv 10.185185185185185%
20:07:58 data/20230324_103925/26.csv 20.37037037037037%
20:09:10 data/20230324_103925/20.csv 14.814814814814813%
20:09:25 data/20230324_103925/32.csv 22.22222222222222%
20:10:19 data/20230324_103925/8.csv 16.666666666666664%
20:10:37 data/20230324_103925/38.csv 14.814814814814813%
20:10:45 data/20230324_103925/14.csv 19.444444444444446%
20:11:11 data/20230324_103925/26.csv 21.296296296296298%
20:11:26 data/20230324_103925/2.csv 9.25925925925926%
20:12:47 data/20230324_103925/20.csv 15.74074074074074%
20:13:15 data/20230324_103925/32.csv 23.14814814814815%
20:14:00 data/20230324_103925/8.csv 17.59259259259259%
20:14:05 data/20230324_103925/14.csv 20.37037037037037%
20:14:18 data/20230324_103925/44.csv 11.11111111111111%
20:14:52 data/20230324_103925/38.csv 15.74074074074074%
20:16:03 data/20230324_103925/26.csv 22.22222222222222%
20:16:57 data/20230324_103925/2.csv 10.185185185185185%
20:17:20 data/20230324_103925/20.csv 16.666666666666664%
20:17:43 data/20230324_103925/8.csv 18.51851851851852%
20:18:02 data/20230324_103925/14.csv 21.296296296296298%
20:18:47 data/20230324_103925/32.csv 24.074074074074073%
20:19:41 data/20230324_103925/44.csv 12.037037037037036%
20:20:12 data/20230324_103925/38.csv 16.666666666666664%
20:20:25 data/20230324_103925/26.csv 23.14814814814815%
20:21:04 data/20230324_103925/2.csv 11.11111111111111%
20:21:49 data/20230324_103925/20.csv 17.59259259259259%
20:22:17 data/20230324_103925/32.csv 25.0%
20:22:23 data/20230324_103925/14.csv 22.22222222222222%
20:22:50 data/20230324_103925/8.csv 19.444444444444446%
20:24:25 data/20230324_103925/38.csv 17.59259259259259%
20:25:20 data/20230324_103925/26.csv 24.074074074074073%
20:26:05 data/20230324_103925/32.csv 25.925925925925924%
20:26:06 data/20230324_103925/14.csv 23.14814814814815%
20:26:10 data/20230324_103925/20.csv 18.51851851851852%
20:26:31 data/20230324_103925/8.csv 20.37037037037037%
20:28:30 data/20230324_103925/44.csv 12.962962962962962%
20:28:39 data/20230324_103925/38.csv 18.51851851851852%
20:28:55 data/20230324_103925/26.csv 25.0%
20:29:26 data/20230324_103925/32.csv 26.851851851851855%
20:29:34 data/20230324_103925/14.csv 24.074074074074073%
20:30:10 data/20230324_103925/8.csv 21.296296296296298%
20:30:54 data/20230324_103925/2.csv 12.037037037037036%
20:32:18 data/20230324_103925/20.csv 19.444444444444446%
20:32:19 data/20230324_103925/38.csv 19.444444444444446%
20:32:46 data/20230324_103925/26.csv 25.925925925925924%
20:32:52 data/20230324_103925/44.csv 13.88888888888889%
20:33:27 data/20230324_103925/32.csv 27.77777777777778%
20:33:50 data/20230324_103925/14.csv 25.0%
20:33:56 data/20230324_103925/8.csv 22.22222222222222%
20:35:21 data/20230324_103925/2.csv 12.962962962962962%
